Website,LinkedIn page,Address,E-mail,Phone,Products/services,Revenue last three years,CEO,CEO LinkedIn URL,CEO Official email,CFO,CFO LinkedIn,CFO Official email,Procurement Head,Procurement Head LinkedIn,Procurement Head Official email,SWOT Strengths,SWOT Weaknesses,SWOT Opportunities,SWOT Threats,Close Competitors
http://example1.com,https://linkedin.com/company/example1,"1 Example St, City, Country",info@example1.com,123-456-7801,Product A; Product B,$1M; $2M; $3M,CEO A,https://linkedin.com/in/ceoA,ceoA@example1.com,CFO A,https://linkedin.com/in/cfoA,cfoA@example1.com,Procurement Head A,https://linkedin.com/in/procurementA,procurementA@example1.com,Strength 1; Strength 2,Weakness 1; Weakness 2,Opportunity 1; Opportunity 2,Threat 1; Threat 2,Competitor 1; Competitor 2
http://example2.com,https://linkedin.com/company/example2,"2 Example St, City, Country",info@example2.com,123-456-7802,Product B; Product C,$2M; $3M; $4M,CEO B,https://linkedin.com/in/ceoB,ceoB@example2.com,CFO B,https://linkedin.com/in/cfoB,cfoB@example2.com,Procurement Head B,https://linkedin.com/in/procurementB,procurementB@example2.com,Strength 2; Strength 3,Weakness 2; Weakness 3,Opportunity 2; Opportunity 3,Threat 2; Threat 3,Competitor 2; Competitor 3
http://example3.com,https://linkedin.com/company/example3,"3 Example St, City, Country",info@example3.com,123-456-7803,Product C; Product D,$3M; $4M; $5M,CEO C,https://linkedin.com/in/ceoC,ceoC@example3.com,CFO C,https://linkedin.com/in/cfoC,cfoC@example3.com,Procurement Head C,https://linkedin.com/in/procurementC,procurementC@example3.com,Strength 3; Strength 4,Weakness 3; Weakness 4,Opportunity 3; Opportunity 4,Threat 3; Threat 4,Competitor 3; Competitor 4
http://example4.com,https://linkedin.com/company/example4,"4 Example St, City, Country",info@example4.com,123-456-7804,Product D; Product E,$4M; $5M; $6M,CEO D,https://linkedin.com/in/ceoD,ceoD@example4.com,CFO D,https://linkedin.com/in/cfoD,cfoD@example4.com,Procurement Head D,https://linkedin.com/in/procurementD,procurementD@example4.com,Strength 4; Strength 5,Weakness 4; Weakness 5,Opportunity 4; Opportunity 5,Threat 4; Threat 5,Competitor 4; Competitor 5
http://example5.com,https://linkedin.com/company/example5,"5 Example St, City, Country",info@example5.com,123-456-7805,Product E; Product F,$5M; $6M; $7M,CEO E,https://linkedin.com/in/ceoE,ceoE@example5.com,CFO E,https://linkedin.com/in/cfoE,cfoE@example5.com,Procurement Head E,https://linkedin.com/in/procurementE,procurementE@example5.com,Strength 5; Strength 6,Weakness 5; Weakness 6,Opportunity 5; Opportunity 6,Threat 5; Threat 6,Competitor 5; Competitor 6
http://example6.com,https://linkedin.com/company/example6,"6 Example St, City, Country",info@example6.com,123-456-7806,Product F; Product G,$6M; $7M; $8M,CEO F,https://linkedin.com/in/ceoF,ceoF@example6.com,CFO F,https://linkedin.com/in/cfoF,cfoF@example6.com,Procurement Head F,https://linkedin.com/in/procurementF,procurementF@example6.com,Strength 6; Strength 7,Weakness 6; Weakness 7,Opportunity 6; Opportunity 7,Threat 6; Threat 7,Competitor 6; Competitor 7
http://example7.com,https://linkedin.com/company/example7,"7 Example St, City, Country",info@example7.com,123-456-7807,Product G; Product H,$7M; $8M; $9M,CEO G,https://linkedin.com/in/ceoG,ceoG@example7.com,CFO G,https://linkedin.com/in/cfoG,cfoG@example7.com,Procurement Head G,https://linkedin.com/in/procurementG,procurementG@example7.com,Strength 7; Strength 8,Weakness 7; Weakness 8,Opportunity 7; Opportunity 8,Threat 7; Threat 8,Competitor 7; Competitor 8
http://example8.com,https://linkedin.com/company/example8,"8 Example St, City, Country",info@example8.com,123-456-7808,Product H; Product I,$8M; $9M; $10M,CEO H,https://linkedin.com/in/ceoH,ceoH@example8.com,CFO H,https://linkedin.com/in/cfoH,cfoH@example8.com,Procurement Head H,https://linkedin.com/in/procurementH,procurementH@example8.com,Strength 8; Strength 9,Weakness 8; Weakness 9,Opportunity 8; Opportunity 9,Threat 8; Threat 9,Competitor 8; Competitor 9
http://example9.com,https://linkedin.com/company/example9,"9 Example St, City, Country",info@example9.com,123-456-7809,Product I; Product J,$9M; $10M; $11M,CEO I,https://linkedin.com/in/ceoI,ceoI@example9.com,CFO I,https://linkedin.com/in/cfoI,cfoI@example9.com,Procurement Head I,https://linkedin.com/in/procurementI,procurementI@example9.com,Strength 9; Strength 10,Weakness 9; Weakness 10,Opportunity 9; Opportunity 10,Threat 9; Threat 10,Competitor 9; Competitor 10
http://example10.com,https://linkedin.com/company/example10,"10 Example St, City, Country",info@example10.com,123-456-7810,Product J; Product K,$10M; $11M; $12M,CEO J,https://linkedin.com/in/ceoJ,ceoJ@example10.com,CFO J,https://linkedin.com/in/cfoJ,cfoJ@example10.com,Procurement Head J,https://linkedin.com/in/procurementJ,procurementJ@example10.com,Strength 10; Strength 11,Weakness 10; Weakness 11,Opportunity 10; Opportunity 11,Threat 10; Threat 11,Competitor 10; Competitor 11
http://example11.com,https://linkedin.com/company/example11,"11 Example St, City, Country",info@example11.com,123-456-7811,Product K; Product L,$11M; $12M; $13M,CEO K,https://linkedin.com/in/ceoK,ceoK@example11.com,CFO K,https://linkedin.com/in/cfoK,cfoK@example11.com,Procurement Head K,https://linkedin.com/in/procurementK,procurementK@example11.com,Strength 11; Strength 12,Weakness 11; Weakness 12,Opportunity 11; Opportunity 12,Threat 11; Threat 12,Competitor 11; Competitor 12
http://example12.com,https://linkedin.com/company/example12,"12 Example St, City, Country",info@example12.com,123-456-7812,Product L; Product M,$12M; $13M; $14M,CEO L,https://linkedin.com/in/ceoL,ceoL@example12.com,CFO L,https://linkedin.com/in/cfoL,cfoL@example12.com,Procurement Head L,https://linkedin.com/in/procurementL,procurementL@example12.com,Strength 12; Strength 13,Weakness 12; Weakness 13,Opportunity 12; Opportunity 13,Threat 12; Threat 13,Competitor 12; Competitor 13
http://example13.com,https://linkedin.com/company/example13,"13 Example St, City, Country",info@example13.com,123-456-7813,Product M; Product N,$13M; $14M; $15M,CEO M,https://linkedin.com/in/ceoM,ceoM@example13.com,CFO M,https://linkedin.com/in/cfoM,cfoM@example13.com,Procurement Head M,https://linkedin.com/in/procurementM,procurementM@example13.com,Strength 13; Strength 14,Weakness 13; Weakness 14,Opportunity 13; Opportunity 14,Threat 13; Threat 14,Competitor 13; Competitor 14
http://example14.com,https://linkedin.com/company/example14,"14 Example St, City, Country",info@example14.com,123-456-7814,Product N; Product O,$14M; $15M; $16M,CEO N,https://linkedin.com/in/ceoN,ceoN@example14.com,CFO N,https://linkedin.com/in/cfoN,cfoN@example14.com,Procurement Head N,https://linkedin.com/in/procurementN,procurementN@example14.com,Strength 14; Strength 15,Weakness 14; Weakness 15,Opportunity 14; Opportunity 15,Threat 14; Threat 15,Competitor 14; Competitor 15
http://example15.com,https://linkedin.com/company/example15,"15 Example St, City, Country",info@example15.com,123-456-7815,Product O; Product P,$15M; $16M; $17M,CEO O,https://linkedin.com/in/ceoO,ceoO@example15.com,CFO O,https://linkedin.com/in/cfoO,cfoO@example15.com,Procurement Head O,https://linkedin.com/in/procurementO,procurementO@example15.com,Strength 15; Strength 16,Weakness 15; Weakness 16,Opportunity 15; Opportunity 16,Threat 15; Threat 16,Competitor 15; Competitor 16
http://example16.com,https://linkedin.com/company/example16,"16 Example St, City, Country",info@example16.com,123-456-7816,Product P; Product Q,$16M; $17M; $18M,CEO P,https://linkedin.com/in/ceoP,ceoP@example16.com,CFO P,https://linkedin.com/in/cfoP,cfoP@example16.com,Procurement Head P,https://linkedin.com/in/procurementP,procurementP@example16.com,Strength 16; Strength 17,Weakness 16; Weakness 17,Opportunity 16; Opportunity 17,Threat 16; Threat 17,Competitor 16; Competitor 17
